Competition Title,Competition Date,Full Name,Nation,Start Number,Rank,Gender,Qualification,Semifinal,Final
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Janja Garnbret,SLO,2,1,F,5.5,3.4,4.4
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Akiyo Noguchi,JPN,1,2,F,5.5,3.4,3.4
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Fanny Gibert,FRA,3,3,F,2.4,4.4,2.4
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Miho Nonaka,JPN,4,4,F,5.5,2.4,2.4
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Luce Douady,FRA,50,5,F,5.5,2.4,1.4
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Mao Nakamura,JPN,9,6,F,3.4,2.4,1.4
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Natalia Grossman,USA,24,7,F,3.5,2.4,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Laura Rogora,ITA,41,8,F,2.4,2.4,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Hannah Meul,DUE,20,9,F,3.5,2.3,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Afra Honig,DUE,13,10,F,2.5,1.4,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Margo Hayes,USA,18,11,F,4.4,1.4,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Futaba Ito,JPN,6,12,F,4.5,1.4,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Alex Johnson,USA,11,13,F,4.5,1.4,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Kyra Condie,USA,10,14,F,4.5,1.4,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Alannah Yip,CAN,5,15,F,4.4,1.3,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Alma Bestvater,DUE,12,16,F,4.5,1.3,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Jain Kim,KOR,23,17,F,2.5,1.2,
IFSC Climbing Worldcup (B) - Vail (USA) 2019 ,6/7/2019,Allison Vest,CAN,32,18,F,3.5,0.4,
